cohort,transaction_id,user_transaction_time,merchant,amount,currency,state,sync_status,has_been_approved,all_requirements_met_and_approved,receipt_count,memo_present,accounting_field_count,policy_violation_count,primary_cause,suggested_edits,similar_ready_count,similar_ready_example_ids
A_NOT_APPROVED,51c7da56-a373-4753-9d69-016e0e12124c,2026-01-01T11:20:14+00:00,Google Workspace,16.8,USD,CLEARED,NOT_SYNC_READY,false,false,1,true,1,0,Awaiting approval,Approve transaction in Ramp workflow | Backfill historical backlog via sync/re-export job,5,9241b9d4-715b-4a49-a7df-f351df6e337d;52913a47-1cae-477f-9549-8517d5baecf8;02b01704-cf26-496e-b522-2fe216cb81bc;848d49a9-ef5f-4c2e-bb75-5cea5578db5a;17ce6faa-0dbc-4cf3-ba6b-0e7318d5eb92
A_NOT_APPROVED,0f98a634-e8fa-4be3-80f4-2c9ea11651df,2026-01-01T17:27:43+00:00,Google Cloud,208.87,USD,CLEARED,NOT_SYNC_READY,false,false,1,true,1,0,Awaiting approval,Approve transaction in Ramp workflow | Backfill historical backlog via sync/re-export job,5,56d27e09-70b1-4fa2-8485-c1efb9116281;bc882778-1387-4143-b822-e62a1f6db053;4a46823c-b16f-4bcf-b80b-3381ba57d491;e08dc887-c7ea-4ec8-b45c-bf319f1cdb8f;c3c15619-0ad9-40f0-a183-49e4256b752e
A_NOT_APPROVED,5ffee5fa-bfa5-438d-a30e-03cb7719d3d8,2026-01-01T17:34:20+00:00,Google Cloud,459.49,USD,CLEARED,NOT_SYNC_READY,false,false,1,true,1,0,Awaiting approval,Approve transaction in Ramp workflow | Backfill historical backlog via sync/re-export job,5,56d27e09-70b1-4fa2-8485-c1efb9116281;bc882778-1387-4143-b822-e62a1f6db053;4a46823c-b16f-4bcf-b80b-3381ba57d491;e08dc887-c7ea-4ec8-b45c-bf319f1cdb8f;c3c15619-0ad9-40f0-a183-49e4256b752e
A_NOT_APPROVED,0d1d9dd0-7342-481e-82c4-eefaf60121b6,2026-01-07T02:20:31+00:00,Microsoft Office / Azure,6.3,USD,CLEARED,NOT_SYNC_READY,false,false,1,true,1,0,Awaiting approval,Approve transaction in Ramp workflow | Backfill historical backlog via sync/re-export job,4,56d27e09-70b1-4fa2-8485-c1efb9116281;e08dc887-c7ea-4ec8-b45c-bf319f1cdb8f;4438782c-e842-4a00-8394-2caee9a5a5c2;ad22c4ab-6b35-442a-b843-1235727680e2
A_NOT_APPROVED,9b66a29a-ac92-40ba-b0c3-a9fb0dc88cdf,2026-01-07T20:29:41+00:00,Alaska Airlines,556.8,USD,CLEARED,NOT_SYNC_READY,false,false,1,true,1,0,Awaiting approval,Approve transaction in Ramp workflow | Backfill historical backlog via sync/re-export job,1,066c4ab5-953c-452a-ace4-acc88f7f57ce
A_NOT_APPROVED,aeff3f69-5851-4166-b90d-7c9e6a4f79fb,2026-01-08T00:37:51+00:00,Delta Air Lines,349,USD,CLEARED,NOT_SYNC_READY,false,false,1,true,1,0,Awaiting approval,Approve transaction in Ramp workflow | Backfill historical backlog via sync/re-export job,5,88560155-08ce-4f2f-882e-926ca31a129a;a7d843e3-226d-4b0f-9b09-fae7d81af3bd;39441c9c-c0cf-4ebd-8195-d51b4cacc6b0;8bcbe972-18e7-4bc4-8cc2-155218984100;9736f691-503e-47c5-8e51-660c0e02279d
A_NOT_APPROVED,8ff6bd48-4333-4fe0-b03b-5c896cbe8ebc,2026-01-08T15:39:05+00:00,American Airlines,112.11,USD,CLEARED,NOT_SYNC_READY,false,false,1,true,1,1,Awaiting approval,Approve transaction in Ramp workflow | Resolve policy violation or document exception | Backfill historical backlog via sync/re-export job,5,6261cb70-0d0f-4e46-8f43-1f88bddd6208;5b44bcb1-5c25-4ed7-a996-803f02cd8336;96d18fcd-fb4b-4876-a573-e3564b638524;187cf57a-6ea6-4149-8d3a-29c4c0a66bbd;37a9c762-6166-442b-a146-6084ea80cfeb
A_NOT_APPROVED,5a672bd0-d2e3-4a77-adf8-8f015d016d7d,2026-01-09T02:34:25+00:00,Microsoft Office / Azure,8.28,USD,CLEARED,NOT_SYNC_READY,false,false,1,true,1,0,Awaiting approval,Approve transaction in Ramp workflow | Backfill historical backlog via sync/re-export job,4,56d27e09-70b1-4fa2-8485-c1efb9116281;e08dc887-c7ea-4ec8-b45c-bf319f1cdb8f;4438782c-e842-4a00-8394-2caee9a5a5c2;ad22c4ab-6b35-442a-b843-1235727680e2
A_NOT_APPROVED,c4578c12-33f5-4380-b23d-c2fcc76df07e,2026-01-09T18:47:12+00:00,Bloomberg,60,USD,CLEARED,NOT_SYNC_READY,false,false,2,true,1,0,Awaiting approval,Approve transaction in Ramp workflow | Backfill historical backlog via sync/re-export job,5,cf894f5e-be8b-4848-baa7-db8a16da46e7;6595fcde-61b1-4d9c-bd9e-8450f81a9232;8384d921-b652-4126-bd97-22fa3a621a99;8c119e19-4a37-46e0-bcde-a397b7d94f03;1d826e7a-1bea-43b3-bb0a-d6b2cd8029a0
A_NOT_APPROVED,e3d460cb-7014-46dc-a56d-0896d6befaf7,2026-01-09T20:09:55+00:00,Saltgrass Steak House,144.24,USD,CLEARED,NOT_SYNC_READY,false,false,1,true,1,0,Awaiting approval,Approve transaction in Ramp workflow | Backfill historical backlog via sync/re-export job,1,16c8ef09-fc9a-4b51-82d8-6075a4655aff
A_NOT_APPROVED,cc8d98a4-fab5-4ba0-853a-982816b02235,2026-01-11T14:16:15+00:00,Jetblue,78,USD,CLEARED,NOT_SYNC_READY,false,false,1,true,1,1,Awaiting approval,Approve transaction in Ramp workflow | Resolve policy violation or document exception | Backfill historical backlog via sync/re-export job,1,902f2756-9b8f-4955-8b17-fafb2dfb79fb
A_NOT_APPROVED,269f23dc-e5dc-41a9-acae-76c2d50f974d,2026-01-11T22:05:04+00:00,Uber,94.93,USD,CLEARED,NOT_SYNC_READY,false,false,1,true,1,0,Awaiting approval,Approve transaction in Ramp workflow | Backfill historical backlog via sync/re-export job,5,ef6a984a-e599-4947-a115-e6626cb03553;8808d7e4-7fd8-4eae-a154-8a38cc98fec8;22f37ee9-a401-4b84-a804-ad88df158119;db6ad9e9-7d57-4c9e-aeb1-3c30e9825408;18c6960e-12c0-4913-8ce7-c00ab1bd14a9
A_NOT_APPROVED,8d3f3a23-637b-4d81-99a5-fa2d18036e72,2026-01-12T09:28:40+00:00,Uber,28.65,USD,CLEARED,NOT_SYNC_READY,false,false,1,true,1,0,Awaiting approval,Approve transaction in Ramp workflow | Backfill historical backlog via sync/re-export job,5,ef6a984a-e599-4947-a115-e6626cb03553;8808d7e4-7fd8-4eae-a154-8a38cc98fec8;22f37ee9-a401-4b84-a804-ad88df158119;db6ad9e9-7d57-4c9e-aeb1-3c30e9825408;18c6960e-12c0-4913-8ce7-c00ab1bd14a9
A_NOT_APPROVED,dcd0187b-75b8-4d34-a578-9c6c57433c13,2026-01-12T09:44:36+00:00,Starbucks,9.54,USD,CLEARED,NOT_SYNC_READY,false,false,1,true,1,0,Awaiting approval,Approve transaction in Ramp workflow | Backfill historical backlog via sync/re-export job,3,ad4d86bb-417d-4838-bd3d-4be89180ff9a;743927e1-763f-4300-af9b-ecdd5a5ef2c1;bbef4a0e-ff3e-466a-9c02-a083c76c98ab
A_NOT_APPROVED,4fa4a1a4-3d4f-4527-96ab-17b2ffed2d1c,2026-01-12T09:47:00+00:00,Uber,5.74,USD,CLEARED,NOT_SYNC_READY,false,false,1,true,1,0,Awaiting approval,Approve transaction in Ramp workflow | Backfill historical backlog via sync/re-export job,5,ef6a984a-e599-4947-a115-e6626cb03553;8808d7e4-7fd8-4eae-a154-8a38cc98fec8;22f37ee9-a401-4b84-a804-ad88df158119;db6ad9e9-7d57-4c9e-aeb1-3c30e9825408;18c6960e-12c0-4913-8ce7-c00ab1bd14a9
A_NOT_APPROVED,3722cb26-f6e0-4005-afcb-611254e35362,2026-01-12T10:51:27+00:00,Starbucks,5.46,USD,CLEARED,NOT_SYNC_READY,false,false,1,true,1,0,Awaiting approval,Approve transaction in Ramp workflow | Backfill historical backlog via sync/re-export job,3,ad4d86bb-417d-4838-bd3d-4be89180ff9a;743927e1-763f-4300-af9b-ecdd5a5ef2c1;bbef4a0e-ff3e-466a-9c02-a083c76c98ab
A_NOT_APPROVED,921617c1-2490-4cfd-9938-7d9753222299,2026-01-12T11:21:56+00:00,Gogo InFlight,6.72,USD,CLEARED,NOT_SYNC_READY,false,false,1,true,1,0,Awaiting approval,Approve transaction in Ramp workflow | Backfill historical backlog via sync/re-export job,1,832d3363-f4c6-4f7d-b91f-b5dcc9669cb1
A_NOT_APPROVED,cc9f7471-4106-4bed-94c8-392450f49615,2026-01-12T13:05:41+00:00,Premier Rider Service,136.81,USD,CLEARED,NOT_SYNC_READY,false,false,1,true,1,0,Awaiting approval,Approve transaction in Ramp workflow | Backfill historical backlog via sync/re-export job,5,ef6a984a-e599-4947-a115-e6626cb03553;8808d7e4-7fd8-4eae-a154-8a38cc98fec8;22f37ee9-a401-4b84-a804-ad88df158119;db6ad9e9-7d57-4c9e-aeb1-3c30e9825408;18c6960e-12c0-4913-8ce7-c00ab1bd14a9
A_NOT_APPROVED,4a292c69-88be-4143-ab5c-16e29bfc2282,2026-01-12T13:35:44+00:00,Premier Rider Service,28,USD,CLEARED,NOT_SYNC_READY,false,false,1,true,1,0,Awaiting approval,Approve transaction in Ramp workflow | Backfill historical backlog via sync/re-export job,5,ef6a984a-e599-4947-a115-e6626cb03553;8808d7e4-7fd8-4eae-a154-8a38cc98fec8;22f37ee9-a401-4b84-a804-ad88df158119;db6ad9e9-7d57-4c9e-aeb1-3c30e9825408;18c6960e-12c0-4913-8ce7-c00ab1bd14a9
A_NOT_APPROVED,f4e92e8e-a519-4342-b279-2457d40c4f8f,2026-01-12T14:00:49+00:00,TRP Taste,1000,USD,CLEARED,NOT_SYNC_READY,false,false,0,false,1,0,Awaiting approval,Approve transaction in Ramp workflow | Attach receipt image/document | Add business-purpose memo | Backfill historical backlog via sync/re-export job | Similar ready transactions usually include receipts | Similar ready transactions usually include memo,5,745f2917-3c80-450c-a26e-ae06ade09cb2;01235b7e-5800-4041-92a9-6981b7c5e9f0;f09a2ff4-eb5b-465c-991f-436d325ba860;5fdd6bfc-afc8-46e1-bd6d-de1b302bc755;d4aa43bc-ec42-4d3d-af02-a2d7c03f9a16
A_NOT_APPROVED,a3971103-4ef0-4ec9-a324-9ab7ad8b27de,2026-01-12T14:59:27+00:00,Uber,6.15,USD,CLEARED,NOT_SYNC_READY,false,false,1,true,1,0,Awaiting approval,Approve transaction in Ramp workflow | Backfill historical backlog via sync/re-export job,5,ef6a984a-e599-4947-a115-e6626cb03553;8808d7e4-7fd8-4eae-a154-8a38cc98fec8;22f37ee9-a401-4b84-a804-ad88df158119;db6ad9e9-7d57-4c9e-aeb1-3c30e9825408;18c6960e-12c0-4913-8ce7-c00ab1bd14a9
A_NOT_APPROVED,782dbd88-a860-435e-a070-e467d4365d45,2026-01-12T15:02:30+00:00,Uber,34.98,USD,CLEARED,NOT_SYNC_READY,false,false,1,true,1,0,Awaiting approval,Approve transaction in Ramp workflow | Backfill historical backlog via sync/re-export job,5,ef6a984a-e599-4947-a115-e6626cb03553;8808d7e4-7fd8-4eae-a154-8a38cc98fec8;22f37ee9-a401-4b84-a804-ad88df158119;db6ad9e9-7d57-4c9e-aeb1-3c30e9825408;18c6960e-12c0-4913-8ce7-c00ab1bd14a9
A_NOT_APPROVED,244eb6bc-0bdb-4d16-9d97-191b68269c52,2026-01-12T15:12:52+00:00,Tastes On The Fly,36.24,USD,CLEARED,NOT_SYNC_READY,false,false,2,true,1,0,Awaiting approval,Approve transaction in Ramp workflow | Backfill historical backlog via sync/re-export job,4,5fdd6bfc-afc8-46e1-bd6d-de1b302bc755;8ef85f80-c4e2-4ef7-8893-522205c7e4eb;5e156b61-3b5b-4ada-bc29-1a94da016db8;7734be03-694d-495d-9c77-5608bf6ecd45
A_NOT_APPROVED,a0b3b97b-be63-4c0e-b6f6-3b62bc88479a,2026-01-12T15:18:46+00:00,Klein's Deli,21.19,USD,CLEARED,NOT_SYNC_READY,false,false,1,true,1,0,Awaiting approval,Approve transaction in Ramp workflow | Backfill historical backlog via sync/re-export job,5,745f2917-3c80-450c-a26e-ae06ade09cb2;01235b7e-5800-4041-92a9-6981b7c5e9f0;f09a2ff4-eb5b-465c-991f-436d325ba860;5fdd6bfc-afc8-46e1-bd6d-de1b302bc755;d4aa43bc-ec42-4d3d-af02-a2d7c03f9a16
A_NOT_APPROVED,5a969228-3f7e-4577-b084-aebddeb67d50,2026-01-12T15:29:38+00:00,City Bar St91,15.7,USD,CLEARED,NOT_SYNC_READY,false,false,1,true,1,0,Awaiting approval,Approve transaction in Ramp workflow | Backfill historical backlog via sync/re-export job,5,5a1f886f-937b-4181-8669-2ad99084d8b0;dcabaf21-77e5-4a90-92d9-a6a44748cbaf;fd00b3e8-409e-4ea1-8066-12eca1772b36;ce939050-d852-4fca-90c2-64e4f11843b2;52f6ae67-0e19-4753-b0ec-e0a0828cc727
A_NOT_APPROVED,397adae9-a0b6-4fc4-b1a0-1cf9dc0d3596,2026-01-12T15:40:29+00:00,Marriott,19.81,USD,CLEARED,NOT_SYNC_READY,false,false,1,true,1,0,Awaiting approval,Approve transaction in Ramp workflow | Backfill historical backlog via sync/re-export job,5,91b3cd0c-eb39-42c8-b26b-fdc022671bcd;ae80e5d2-0e21-4b46-959a-4250605d85a0;1f2fdd2e-a11e-4557-852c-953d6fdabd96;d0b4faa0-6ede-40ed-93f4-6831a2d2684f;1407aaab-e2ff-4203-930c-f92f62cdd593
A_NOT_APPROVED,05551224-970e-46bf-b907-424d73961c73,2026-01-12T15:51:13+00:00,Uber,14.23,USD,CLEARED,NOT_SYNC_READY,false,false,1,true,1,0,Awaiting approval,Approve transaction in Ramp workflow | Backfill historical backlog via sync/re-export job,5,ef6a984a-e599-4947-a115-e6626cb03553;8808d7e4-7fd8-4eae-a154-8a38cc98fec8;22f37ee9-a401-4b84-a804-ad88df158119;db6ad9e9-7d57-4c9e-aeb1-3c30e9825408;18c6960e-12c0-4913-8ce7-c00ab1bd14a9
A_NOT_APPROVED,d60eb580-320f-4b2f-81cd-ddc57cbdf041,2026-01-12T16:26:28+00:00,Freshii,17.6,USD,CLEARED,NOT_SYNC_READY,false,false,1,true,1,0,Awaiting approval,Approve transaction in Ramp workflow | Backfill historical backlog via sync/re-export job,5,745f2917-3c80-450c-a26e-ae06ade09cb2;01235b7e-5800-4041-92a9-6981b7c5e9f0;f09a2ff4-eb5b-465c-991f-436d325ba860;5fdd6bfc-afc8-46e1-bd6d-de1b302bc755;d4aa43bc-ec42-4d3d-af02-a2d7c03f9a16
A_NOT_APPROVED,f6ab61b8-0b23-4e0b-a40d-b65687e88171,2026-01-12T17:41:16+00:00,Porter,390.66,USD,CLEARED,NOT_SYNC_READY,false,false,1,true,1,0,Awaiting approval,Approve transaction in Ramp workflow | Backfill historical backlog via sync/re-export job,5,5100624e-f64e-4e09-a6bd-0331b1409bed;88560155-08ce-4f2f-882e-926ca31a129a;737d6251-1ed0-4596-9994-6c94ee513e08;fd55c316-5c64-4b99-b2c4-47d54ded4e4d;0404ff41-d034-4a5a-aaff-7df50f8399bd
A_NOT_APPROVED,1e1ed835-0413-4497-afda-858d4c5f1209,2026-01-12T17:51:07+00:00,Cousin's Bar-B-Q,32.61,USD,CLEARED,NOT_SYNC_READY,false,false,1,true,1,0,Awaiting approval,Approve transaction in Ramp workflow | Backfill historical backlog via sync/re-export job,5,745f2917-3c80-450c-a26e-ae06ade09cb2;01235b7e-5800-4041-92a9-6981b7c5e9f0;f09a2ff4-eb5b-465c-991f-436d325ba860;5fdd6bfc-afc8-46e1-bd6d-de1b302bc755;d4aa43bc-ec42-4d3d-af02-a2d7c03f9a16
